,securities_code,display_time,remark,trend_flag,match_flag,trade_upper_lower_limit,trade_price,transaction_volume,buy_tick_size,buy_upper_lower_limit,sell_tick_size,sell_upper_lower_limit,display_date,match_staff,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5
0,0050,08:30:04,T, , , ,0.0,0,5, ,1, ,2024-11-11,AA,199.5,29,199.0,20,191.5,3,190.0,1,188.0,1,203.0,2,0.0,0,0.0,0,0.0,0,0.0,0
1,0050,08:30:09,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,27,199.0,32,198.0,1,197.0,1,195.0,1,200.0,1,200.65,1,201.0,1,201.5,1,203.0,4
2,0050,08:30:14,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,17,199.0,33,198.0,1,197.0,1,195.0,1,200.0,2,200.65,1,201.0,2,201.5,1,203.0,4
3,0050,08:30:19,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,14,199.0,36,198.0,1,197.0,1,195.0,2,200.0,2,200.2,1,200.3,1,200.6,6,200.65,1
4,0050,08:30:24,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,12,199.0,41,198.8,2,198.2,1,198.0,1,200.0,13,200.2,3,200.3,1,200.5,3,200.6,6
5,0050,08:30:29,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,11,199.05,1,199.0,42,198.8,2,198.2,1,200.0,34,200.2,3,200.3,1,200.5,3,200.6,6
6,0050,08:30:34,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,11,199.25,1,199.05,1,199.0,46,198.95,2,199.8,1,200.0,40,200.2,4,200.3,1,200.5,4
7,0050,08:30:39,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,12,199.25,1,199.05,1,199.0,49,198.95,2,199.8,1,200.0,49,200.1,1,200.2,4,200.3,1
8,0050,08:30:44,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,4,199.25,1,199.05,3,199.0,52,198.95,2,199.8,1,200.0,52,200.1,1,200.2,4,200.3,1
9,0050,08:30:49,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,4,199.25,1,199.05,3,199.0,54,198.95,2,199.6,1,199.8,2,199.9,1,200.0,55,200.05,1
10,0050,08:30:54,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,3,199.25,1,199.05,3,199.0,55,198.95,2,199.6,1,199.8,2,199.9,1,200.0,57,200.05,2
11,0050,08:30:59,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,3,199.25,1,199.05,3,199.0,58,198.95,2,199.6,1,199.8,2,199.9,1,200.0,58,200.05,2
12,0050,08:31:04,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,2,199.25,1,199.05,3,199.0,61,198.95,2,199.6,1,199.8,2,199.9,1,200.0,64,200.05,2
13,0050,08:31:09,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.5,6,199.25,1,199.05,3,199.0,62,198.95,2,199.6,1,199.8,2,199.9,1,200.0,67,200.05,2
14,0050,08:31:14,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.25,1,199.05,3,199.0,62,198.95,2,198.9,1,199.3,1,199.5,2,199.6,1,199.8,2,199.9,1
15,0050,08:31:19,T, , , ,0.0,0,5, ,5, ,2024-11-11,AA,199.05,2,199.0,68,198.95,2,198.9,1,198.85,1,199.2,2,199.3,1,199.5,2,199.6,1,199.8,2
