,securities_code,display_time,remark,trend_flag,match_flag,trade_upper_lower_limit,trade_price,transaction_volume,buy_tick_size,buy_upper_lower_limit,buy_5_price_volume,sell_tick_size,sell_upper_lower_limit,sell_5_price_volume,display_date,match_staff
0,0050,08:30:04,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 29}, {'price': 199.0, 'volume': 20}, {'price': 191.5, 'volume': 3}, {'price': 190.0, 'volume': 1}, {'price': 188.0, 'volume': 1}]",1, ,"[{'price': 203.0, 'volume': 2}, {'price': 0.0, 'volume': 0}, {'price': 0.0, 'volume': 0}, {'price': 0.0, 'volume': 0}, {'price': 0.0, 'volume': 0}]",2024-11-11,AA
1,0050,08:30:09,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 27}, {'price': 199.0, 'volume': 32}, {'price': 198.0, 'volume': 1}, {'price': 197.0, 'volume': 1}, {'price': 195.0, 'volume': 1}]",5, ,"[{'price': 200.0, 'volume': 1}, {'price': 200.65, 'volume': 1}, {'price': 201.0, 'volume': 1}, {'price': 201.5, 'volume': 1}, {'price': 203.0, 'volume': 4}]",2024-11-11,AA
2,0050,08:30:14,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 17}, {'price': 199.0, 'volume': 33}, {'price': 198.0, 'volume': 1}, {'price': 197.0, 'volume': 1}, {'price': 195.0, 'volume': 1}]",5, ,"[{'price': 200.0, 'volume': 2}, {'price': 200.65, 'volume': 1}, {'price': 201.0, 'volume': 2}, {'price': 201.5, 'volume': 1}, {'price': 203.0, 'volume': 4}]",2024-11-11,AA
3,0050,08:30:19,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 14}, {'price': 199.0, 'volume': 36}, {'price': 198.0, 'volume': 1}, {'price': 197.0, 'volume': 1}, {'price': 195.0, 'volume': 2}]",5, ,"[{'price': 200.0, 'volume': 2}, {'price': 200.2, 'volume': 1}, {'price': 200.3, 'volume': 1}, {'price': 200.6, 'volume': 6}, {'price': 200.65, 'volume': 1}]",2024-11-11,AA
4,0050,08:30:24,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 12}, {'price': 199.0, 'volume': 41}, {'price': 198.8, 'volume': 2}, {'price': 198.2, 'volume': 1}, {'price': 198.0, 'volume': 1}]",5, ,"[{'price': 200.0, 'volume': 13}, {'price': 200.2, 'volume': 3}, {'price': 200.3, 'volume': 1}, {'price': 200.5, 'volume': 3}, {'price': 200.6, 'volume': 6}]",2024-11-11,AA
5,0050,08:30:29,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 11}, {'price': 199.05, 'volume': 1}, {'price': 199.0, 'volume': 42}, {'price': 198.8, 'volume': 2}, {'price': 198.2, 'volume': 1}]",5, ,"[{'price': 200.0, 'volume': 34}, {'price': 200.2, 'volume': 3}, {'price': 200.3, 'volume': 1}, {'price': 200.5, 'volume': 3}, {'price': 200.6, 'volume': 6}]",2024-11-11,AA
6,0050,08:30:34,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 11}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 1}, {'price': 199.0, 'volume': 46}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.8, 'volume': 1}, {'price': 200.0, 'volume': 40}, {'price': 200.2, 'volume': 4}, {'price': 200.3, 'volume': 1}, {'price': 200.5, 'volume': 4}]",2024-11-11,AA
7,0050,08:30:39,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 12}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 1}, {'price': 199.0, 'volume': 49}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.8, 'volume': 1}, {'price': 200.0, 'volume': 49}, {'price': 200.1, 'volume': 1}, {'price': 200.2, 'volume': 4}, {'price': 200.3, 'volume': 1}]",2024-11-11,AA
8,0050,08:30:44,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 4}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 52}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.8, 'volume': 1}, {'price': 200.0, 'volume': 52}, {'price': 200.1, 'volume': 1}, {'price': 200.2, 'volume': 4}, {'price': 200.3, 'volume': 1}]",2024-11-11,AA
9,0050,08:30:49,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 4}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 54}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}, {'price': 200.0, 'volume': 55}, {'price': 200.05, 'volume': 1}]",2024-11-11,AA
10,0050,08:30:54,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 3}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 55}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}, {'price': 200.0, 'volume': 57}, {'price': 200.05, 'volume': 2}]",2024-11-11,AA
11,0050,08:30:59,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 3}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 58}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}, {'price': 200.0, 'volume': 58}, {'price': 200.05, 'volume': 2}]",2024-11-11,AA
12,0050,08:31:04,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 2}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 61}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}, {'price': 200.0, 'volume': 64}, {'price': 200.05, 'volume': 2}]",2024-11-11,AA
13,0050,08:31:09,T, , , ,0.0,0,5, ,"[{'price': 199.5, 'volume': 6}, {'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 62}, {'price': 198.95, 'volume': 2}]",5, ,"[{'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}, {'price': 200.0, 'volume': 67}, {'price': 200.05, 'volume': 2}]",2024-11-11,AA
14,0050,08:31:14,T, , , ,0.0,0,5, ,"[{'price': 199.25, 'volume': 1}, {'price': 199.05, 'volume': 3}, {'price': 199.0, 'volume': 62}, {'price': 198.95, 'volume': 2}, {'price': 198.9, 'volume': 1}]",5, ,"[{'price': 199.3, 'volume': 1}, {'price': 199.5, 'volume': 2}, {'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}, {'price': 199.9, 'volume': 1}]",2024-11-11,AA
15,0050,08:31:19,T, , , ,0.0,0,5, ,"[{'price': 199.05, 'volume': 2}, {'price': 199.0, 'volume': 68}, {'price': 198.95, 'volume': 2}, {'price': 198.9, 'volume': 1}, {'price': 198.85, 'volume': 1}]",5, ,"[{'price': 199.2, 'volume': 2}, {'price': 199.3, 'volume': 1}, {'price': 199.5, 'volume': 2}, {'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}]",2024-11-11,AA
16,0050,08:31:24,T, , , ,0.0,0,5, ,"[{'price': 199.05, 'volume': 2}, {'price': 199.0, 'volume': 68}, {'price': 198.95, 'volume': 2}, {'price': 198.9, 'volume': 1}, {'price': 198.85, 'volume': 1}]",5, ,"[{'price': 199.2, 'volume': 2}, {'price': 199.3, 'volume': 1}, {'price': 199.5, 'volume': 3}, {'price': 199.6, 'volume': 1}, {'price': 199.8, 'volume': 2}]",2024-11-11,AA
17,0050,08:31:29,T, , , ,0.0,0,5, ,"[{'price': 199.0, 'volume': 68}, {'price': 198.95, 'volume': 2}, {'price': 198.9, 'volume': 1}, {'price': 198.85, 'volume': 1}, {'price': 198.8, 'volume': 2}]",5, ,"[{'price': 199.05, 'volume': 2}, {'price': 199.1, 'volume': 1}, {'price': 199.2, 'volume': 2}, {'price': 199.3, 'volume': 1}, {'price': 199.5, 'volume': 3}]",2024-11-11,AA
18,0050,08:31:34,T, , , ,0.0,0,5, ,"[{'price': 199.0, 'volume': 74}, {'price': 198.95, 'volume': 2}, {'price': 198.9, 'volume': 1}, {'price': 198.85, 'volume': 1}, {'price': 198.8, 'volume': 2}]",5, ,"[{'price': 199.05, 'volume': 1}, {'price': 199.1, 'volume': 1}, {'price': 199.2, 'volume': 2}, {'price': 199.3, 'volume': 1}, {'price': 199.5, 'volume': 4}]",2024-11-11,AA
